length,special_char_count,entropy,keyword_count,label
16,0,3.577819531114783,0,0
24,0,4.220175521464345,0,0
28,0,3.624518654958899,0,0
48,1,4.944235677759417,0,0
35,6,4.2430101595548555,0,0
9,0,3.1699250014423126,0,0
30,1,4.440223928941852,0,0
20,2,3.684183719779189,0,0
39,0,4.6632313853624945,0,0
31,2,4.502583407161069,0,0
45,4,4.324534762707879,0,0
25,0,4.163856189774725,0,0
16,1,3.875,0,0
47,0,5.086503745294659,0,0
42,0,4.76696831548137,0,0
17,1,3.852168723603281,0,0
14,0,3.521640636343318,0,0
31,1,4.542748326446119,0,0
30,2,4.3735572622751855,0,0
6,0,2.584962500721156,0,0
35,6,4.2430101595548555,0,0
16,1,3.875,0,0
20,1,4.1219280948873624,0,0
19,0,3.4316235658474312,0,0
6,0,2.2516291673878226,0,0
10,0,3.1219280948873624,0,0
35,6,4.2430101595548555,0,0
6,0,2.584962500721156,0,0
19,0,3.9321380397593755,0,0
33,0,4.47606419505047,0,0
6,0,2.584962500721156,0,0
28,1,4.4946803684089085,0,0
19,0,4.037401197654112,0,0
23,0,3.9148663038830995,0,0
17,0,3.5724694587701356,0,0
35,6,4.2430101595548555,0,0
20,0,3.8219280948873626,0,0
5,0,2.3219280948873626,0,0
19,2,2.820589856666546,0,0
28,0,3.624518654958899,0,0
28,0,4.351823225551765,0,0
16,1,3.875,0,0
16,0,3.577819531114783,0,0
36,0,4.815622570826661,0,0
16,0,3.577819531114783,0,0
17,0,3.5724694587701356,0,0
16,1,3.875,0,0
20,0,3.7841837197791888,0,0
27,0,4.532665279941246,0,0
45,2,4.836080318455743,0,0
20,0,3.8219280948873626,0,0
12,0,3.584962500721156,0,0
37,1,4.736216203349843,0,0
27,0,4.60673935401532,0,0
35,6,4.2430101595548555,0,0
14,0,3.521640636343318,0,0
36,1,4.725480556997868,0,0
45,4,4.324534762707879,0,0
16,0,3.577819531114783,0,0
34,0,4.852168723603281,0,0
45,4,4.324534762707879,0,0
16,0,3.577819531114783,0,0
45,4,4.324534762707879,0,0
11,0,3.0957952550009344,0,0
20,2,3.684183719779189,0,0
25,0,4.243856189774725,0,0
22,0,4.095795255000934,0,0
47,0,4.783000287709757,0,0
45,4,4.324534762707879,0,0
41,0,4.686581882561329,0,0
5,0,2.3219280948873626,0,0
20,0,3.8219280948873626,0,0
33,1,4.498939573903908,0,0
28,0,3.624518654958899,0,0
16,0,3.577819531114783,0,0
16,0,3.5,0,0
48,0,4.91829583405449,0,0
35,2,4.786425874087823,0,0
9,0,2.9477027792200903,0,0
17,0,3.5724694587701356,0,0
27,0,4.310443057719024,0,0
19,2,2.820589856666546,0,0
43,0,4.786502545299146,0,0
19,0,3.4316235658474312,0,0
25,0,4.293660689688186,0,0
37,0,4.777020933196518,0,0
35,1,4.664578373902383,0,0
31,0,4.502583407161069,0,0
20,0,3.8219280948873626,0,0
9,0,2.9477027792200903,0,0
36,1,4.781036112553424,0,0
28,0,3.624518654958899,0,0
19,2,2.820589856666546,0,0
43,2,4.99010458023318,0,0
27,0,4.106377316818026,0,0
32,0,4.6875,0,0
27,0,4.458591205867172,0,0
19,0,4.037401197654112,0,0
25,2,4.403856189774724,0,0
34,1,4.47702497353965,0,0
16,1,3.875,0,0
19,2,2.820589856666546,0,0
5,0,2.3219280948873626,0,0
44,1,4.697845823084412,0,0
35,0,4.743289445392768,0,0
17,0,3.9698157824268105,0,0
47,0,4.900229543120968,0,0
28,0,3.624518654958899,0,0
39,0,4.631305423879507,0,0
60,4,4.818820387022781,0,0
6,0,2.2516291673878226,0,0
21,0,4.20184123230257,0,0
16,1,3.875,0,0
46,0,5.072368749488242,0,0
34,2,4.653495561774944,0,0
24,0,4.136842188131012,0,0
28,0,3.624518654958899,0,0
28,0,3.624518654958899,0,0
20,2,3.684183719779189,0,0
25,0,4.0536606896881855,0,0
39,0,4.855789718806775,0,0
47,2,4.766938851493513,0,0
16,0,3.577819531114783,0,0
20,0,3.8219280948873626,0,0
41,0,4.570609016654903,0,0
24,1,4.220175521464345,0,0
28,0,4.450212064914747,0,0
28,0,3.624518654958899,0,0
39,0,4.682587475161558,0,0
13,0,3.546593564294939,0,0
13,0,3.7004397181410926,0,0
30,0,4.481727678869737,0,0
11,0,3.459431618637298,0,0
40,0,4.753055907333276,0,0
47,0,4.916290979337212,0,0
30,0,4.3735572622751855,0,0
25,0,4.403856189774724,0,0
36,0,4.718128820706468,0,0
27,0,4.384517131793098,0,0
47,0,4.94278273461033,0,0
42,2,4.862206410719465,0,0
17,0,3.9698157824268105,0,0
17,0,3.852168723603281,0,0
16,1,3.875,0,0
23,0,4.1429146733542535,0,0
16,1,3.875,0,0
20,0,3.8219280948873626,0,0
60,4,4.818820387022781,0,0
19,0,3.4316235658474312,0,0
20,2,3.684183719779189,0,0
44,0,4.805911448133582,0,0
5,0,2.3219280948873626,0,0
28,0,3.624518654958899,0,0
35,0,4.457575159678482,0,0
60,4,4.818820387022781,0,0
44,1,4.834209459448049,0,0
38,0,4.662015342220154,0,0
46,0,4.969001629875993,0,0
19,0,3.4316235658474312,0,0
19,0,3.4316235658474312,0,0
49,1,4.93083688484323,0,0
15,0,3.906890595608519,0,0
28,0,3.624518654958899,0,0
8,0,2.75,0,0
28,0,4.593069207771889,0,0
21,0,4.106603137064474,0,0
60,4,4.818820387022781,0,0
27,1,4.356558335416674,0,0
49,1,5.094102190965678,0,0
8,0,3.0,0,0
25,0,4.483856189774724,0,0
35,1,4.433153646184958,0,0
32,0,4.538909765557392,0,0
5,0,2.3219280948873626,0,0
44,0,5.004886164091843,0,0
20,2,3.684183719779189,0,0
6,0,2.584962500721156,0,0
46,0,4.854977445140416,0,0
9,0,3.1699250014423126,0,0
36,0,4.482289237493327,0,0
25,0,4.563856189774724,0,0
40,0,4.8341837197791895,0,0
5,0,2.3219280948873626,0,0
16,0,3.577819531114783,0,0
26,0,4.13294404498096,0,0
17,0,3.7345216647797517,0,0
46,0,4.708132064658601,0,0
22,1,4.3685225277282065,0,0
35,6,4.2430101595548555,0,0
33,1,4.657882376868652,0,0
11,0,3.277613436819116,0,0
19,0,3.4316235658474312,0,0
19,2,2.820589856666546,0,0
19,0,3.4316235658474312,0,0
60,4,4.818820387022781,0,0
19,0,3.4316235658474312,0,0
48,0,5.126629167387823,0,0
17,0,3.5724694587701356,0,0
22,0,4.186704345910025,0,0
5,0,2.3219280948873626,0,0
32,1,4.663909765557392,0,0
49,1,5.051247793616498,0,0
38,0,4.609383763272786,0,0
